Sentiment,stem_data
negative,adon
negative,spektakel
negative,kera kepala
negative,menyeruput
negative,lawa
negative,cagaran
negative,padang pasir
negative,minim
negative,menyingkapkan
negative,terserak
negative,selebaran
negative,terbuka
negative,melet
negative,menggarong
negative,berbeda
negative,cembung
negative,kuwur
negative,cerita rekaan
negative,tercengang-cengang
negative,
negative,bosman
negative,
negative,kebisuan
negative,domot
negative,keterlibatan
negative,sirna
negative,aba-aba
negative,karavan
negative,suka mengganggu
negative,terluang
negative,memengg lidah
negative,ekofraksia
negative,baterai
negative,pertiwi
negative,penelik
negative,kelebihan
negative,menggeramu
negative,sayu rawan
negative,menyepuk
negative,sajak
negative,prosa
negative,berkupak
negative,cerna
negative,cemoohan
negative,menggila
negative,belet
negative,menjahatkan
negative,anom
negative,begal
negative,tarekat
negative,rawak
negative,tupai
negative,kasemat
negative,rawan
negative,abnormalita
negative,mencukupi
negative,jalanan
negative,cemua
negative,dam
negative,ekspirasi
negative,menyinggang
negative,mengimbangi
negative,penarung
negative,merasi
negative,cace gelang-gelang
negative,lude
negative,peda
negative,pedar
negative,waswa
negative,menonjok
negative,aju
negative,buang hajat
negative,membosankan
negative,bala
negative,ketaksaan
negative,rombengan
negative,pemerdaya
negative,memarap
negative,larat
negative,pelor
negative,gastroenterolog
negative,bangbung
negative,membentur
negative,karang
negative,ongok
negative,tersaku
negative,menagak
negative,safih
negative,tulang punggung
negative,berpijar
negative,menggana bercabul
negative,titisan darah
negative,jara
negative,menghentikan
negative,rengsa
negative,menyerang
negative,
negative,kalimat
negative,membeset
negative,jantung hati
negative,cuca
negative,bebel
negative,sukaria
negative,konvek
negative,beli
negative,histeria
negative,menahan
negative,mengonsumsi
negative,beterjunan
negative,menguyuh
negative,komunita
negative,silang sengketa
negative,berbenturan
negative,korek api
negative,lambat-lambat
negative,adu
negative,pemantik api
negative,bulu
negative,detak
negative,tergolong
negative,besot
negative,resultan
negative,perhiasan
negative,mengerubuti
negative,buluh
negative,nira
negative,resurjensi
negative,tonton
negative,tiup
negative,merenungi
negative,melalap
negative,mure
negative,kepercayaan
negative,geletar
negative,bertengkaran
negative,iringan
negative,menyeka
negative,menyelekehi
negative,cincong
negative,penghilangan
negative,melalah
negative,melalak
negative,bingit
negative,ronggang
negative,tunggakan
negative,kisi-kisi
negative,rumb
negative,lahir
negative,lenyap daratan
negative,jenazah
negative,pagi
negative,candal
negative,canda
negative,bercat
negative,isi
negative,puspamala
negative,gempil
negative,membeb
negative,kritikan
negative,teta
negative,baret
negative,mencekam
negative,pengikat
negative,mengaduk
negative,
negative,dakap
negative,kelelahan
negative,kisi
negative,bergabung
negative,sadur
negative,bertempiar
negative,tuil
negative,silap mata
negative,
negative,bantai
negative,melintang
negative,handai
negative,serutu
negative,pesawat
negative,empo
negative,gempur
negative,ganteng
negative,sambar
negative,
negative,bedeng
negative,berguncang
negative,kelompok
negative,menyilam
negative,belam
negative,
negative,belai
negative,cegat
negative,merajalela
negative,lancut
negative,tertabrak
negative,tampil
negative,tampik
negative,penipu
negative,mengganjarkan
negative,kereseng
negative,tikai
negative,bermor
negative,sasana
negative,meliputi
negative,restoran
negative,iri
negative,bisul
negative,palka
negative,kejorokan
negative,lembu
negative,sarung
negative,menafakurkan
negative,gundal
negative,berbalik
negative,teliti waskita
negative,gundah
negative,yuwaraja
negative,cace kentar
negative,bangkrut
negative,berusuh
negative,terbang pikiran
negative,kera
negative,pacak
negative,berpacaran
negative,cengkedi
negative,menyanggupi
negative,cocor
negative,menyolidkan
negative,kampungan
negative,ayal
negative,bahan
negative,bersuka-suka
negative,nuzul
negative,teriri
negative,berjejal-jej
negative,jejap
negative,belang
negative,teragung
negative,alat negara
negative,banci
negative,mengingsar
negative,bertikai
negative,hancai
negative,menggemuruh
negative,menuguri
negative,mulu
negative,kitab
negative,ilat
negative,sempura
negative,menyelar
negative,menyadran
negative,mencium tanah
negative,mangkir
negative,pasukan
negative,berantakan
negative,bacar mulut
negative,menguit
negative,kemesuman
negative,gamblang
negative,berkemam
negative,berkem
negative,berkeluarga
negative,bersalahan
negative,mambang
negative,pengetam
negative,mengecewakan
negative,lalai
negative,ragu-ragu
negative,kune
negative,gaib
negative,gila
negative,ajuk
negative,sesalan
negative,menerjang
negative,mengempang
negative,mengencang
negative,kenistaan
negative,mengazab
negative,beloh
negative,berkenalan
negative,belot
negative,mengguncangkan
negative,meronta
negative,melenceng
negative,menyapu-nyapu
negative,kecut
negative,ekspr
negative,jeblok
negative,mengerinyau
negative,gertak
negative,berkurap
negative,buari
negative,mendekap
negative,duri
negative,mendakwa
negative,kanji
negative,berperang mulut
negative,
negative,dura
negative,alku
negative,menyampuk
negative,lelap
negative,terselubung
negative,meleset
negative,kepompong
negative,tercelampak
negative,lubang jarum
negative,kurbal
negative,menghinggut
negative,gegar
negative,melelapkan
negative,jalan setapak
negative,jalan tiku
negative,sentong
negative,rel (kereta api)
negative,balai
negative,tangi
negative,kejangkitan
negative,meteor
negative,menyunggit
negative,batu loncatan
negative,bondong
negative,gerenyot
negative,menghitamkan
negative,berlebih
negative,derum
negative,memberangsangkan
negative,genap
negative,mencoreng
negative,musnah
negative,memijak
negative,nona
negative,cerita anak
negative,menggerinjam
negative,keseleo
negative,grecok
negative,menyorong
negative,kecerobohan
negative,genah
negative,mengemu
negative,terselip
negative,hubung
negative,fakta
negative,remba
negative,rampak
negative,tengkingan
negative,terpencil
negative,kepind
negative,kekeliruan
negative,abar-abar
negative,leyu
negative,seband
negative,gebo
negative,pilak
negative,cace keremi
negative,nyenyeh
negative,kantong kere
negative,penggaruk
negative,senewen
negative,menetapkan
negative,kacang botor
positive,hai
positive,merekam
positive,ekstensif
positive,paripurna
positive,detail
positive,pernik
positive,bela
positive,wela
positive,kabung
positive,rahayu
positive,maaf
positive,hello
positive,promo
positive,terimakasih
positive,cover
positive,mohon
positive,mengaw
positive,statistik
positive,keluangan
positive,jalan terbuka
positive,banyaknya
positive,lebar
positive,bentang
positive,
positive,silahkan
positive,semboyan
positive,ditunggu
positive,aks
positive,penerangan
positive,hi
positive,dibantu
positive,makasih
positive,halo
positive,thank
positive,pengembangan
positive,diva
positive,
positive,segan
positive,detailnya
positive,segan
positive,aktivasi
positive,asih
positive,kasih sayang
positive,kekaguman
positive,kehangatan
positive,afeksi
positive,renjana
positive,amor
positive,cinta kasih
positive,tresna
positive,filantropi
positive,cintrong
positive,suasana (hati)
positive,dinamika
positive,tuhan
positive,merespon
positive,makmur
positive,suka cita
positive,pengguna
positive,tunggu
positive,lotr
positive,nggak
positive,kupon
positive,terpelihara
positive,terawat
positive,tersadar
positive,tari
positive,gejolak
positive,kejutan
positive,pesta
positive,getar
positive,allah
positive,berlabuh
positive,terdaftar
positive,negosiasi
positive,revolusion
positive,follback
positive,pelaminan
positive,yasalamualaika
positive,uang lelah
positive,parsel
positive,amplop
positive,kenang-kenangan
positive,pengasih
positive,uang rokok
positive,persenan
positive,baksi
positive,tanda mata
positive,angpau
positive,hibah
positive,upa
positive,bingkisan
positive,suvenir
positive,kesudian
positive,berakar
positive,para-para
positive,termakan
positive,kemasyhuran
positive,reputasi
positive,gelar
positive,serep
positive,invit
positive,nyanyian
positive,dendang
positive,gita
positive,gend
positive,lagu
positive,rintisan
positive,bergelora
positive,antusia
positive,ringan tangan
positive,membara
positive,menyala
positive,berlangganan
positive,berdenyut
positive,bersungguh-sungguh
positive,rinti
positive,jalan beba hambatan
positive,tarekat
positive,baje
positive,bopong
positive,berlezat
positive,getaran
positive,berperan
positive,debar
positive,raba
positive,degub
positive,
positive,berpartisipasi
positive,mengunt
positive,penghayatan
positive,mitra
positive,diterima
positive,sohib
positive,beriktikad
positive,berkeyakinan
positive,beriman
positive,percaya
positive,menghajatkan
positive,senyum
positive,haloo
positive,menarik hati
positive,cedayam
positive,hasan
positive,tumandang
positive,pengen
positive,bener
positive,hellooo
positive,marilah
positive,terbaik
positive,ulung
positive,good
positive,silakan
positive,main
positive,alhamdulillah
positive,unek-unek
positive,sesalan
positive,menyaksikan
positive,pemenangnya
positive,hiii
positive,menyuarakan
positive,menginterprestasikan
positive,menaksir
positive,
positive,
positive,mengimla
positive,mengantisipasi
positive,menafsirkan
positive,mengartikan
positive,mengasosiasikan
positive,borong
positive,payu
positive,memb
positive,
positive,tertawa
positive,
positive,mengorak senyum
positive,mesem
positive,tersenyum
positive,ok
positive,ayo
positive,mari
positive,yuk
positive,lincah
positive,buru-buru
positive,kencang
positive,buntut
positive,kilat
positive,kunjung
positive,mendahului
positive,
positive,leka
positive,aka
positive,terampil
positive,jerau
positive,pagi
positive,pesat
positive,sebat
positive,kawal
positive,berkaw
positive,gugah
positive,pustaka
positive,sir-siran
positive,pelihara
positive,patroli
positive,kitab
positive,ronda
positive,sambang
positive,berguru
positive,menuntut ilmu
positive,melatih
positive,menimba ilmu
positive,mengaji
positive,meneladan
positive,mencari ilmu
positive,luck
positive,bersekolah
positive,menggali ilmu
positive,desak
positive,menelaah
positive,memahirkan
positive,harmonisasiuniv
positive,takut
positive,sreg
positive,penyatuan
positive,wangi
positive,pula
positive,merdu
positive,harum
positive,legit
positive,inkorporasi
positive,serundai
positive,helloo
positive,page
positive,menyerempakkan
positive,menyinkronkan
positive,tolong
positive,kediaman
positive,panti
positive,rumah
positive,simplisti
positive,menjejali
positive,perfek
positive,tayib
positive,memejahijaukan
positive,tayibah
positive,jamil
positive,mungil
positive,rancak
positive,mengisi
positive,neci
positive,menyidangkan
positive,bagusan
positive,esteti
positive,firasat
positive,cawi
positive,berdandan
positive,andini
positive,indikasi
positive,tersedia
positive,tersaji
positive,sholat
positive,pastikan
positive,tersuguh
positive,perpanjangan
positive,fiesta
positive,terdamp
positive,jomblo
positive,medali
positive,terdekat
positive,artistik
positive,
positive,imut-imut
positive,langkah
positive,langkah kanan
positive,guy
positive,profit
positive,wari
positive,dominan
positive,kooperasi
positive,kera tulang
positive,gedemb
positive,tangguh
positive,wedel
positive,tapa
positive,kedot
positive,keikutsertaan
positive,kesertaan
positive,dibala
positive,kerja
positive,tatap
positive,berpengaruh
positive,lengan
positive,partisipasi
positive,bedegap
positive,peran
positive,masif
positive,grati
positive,membantu
positive,busana
positive,hasad
positive,keki
positive,free
positive,wkwkwk
positive,sangsi
positive,berprasangka
positive,bermaslahat
positive,mujur
positive,warisan
positive,bersetuju
positive,kenan
positive,(hujan) gerimi
positive,support
positive,sahabat
positive,gerimi
positive,hujan
positive,handai
positive,kece
positive,thank
positive,hujan ringan
positive,sobat
positive,tungkai
positive,trim
positive,doa
positive,pacaran
positive,berpacaran
positive,teranyar
positive,hallo
positive,happi
positive,ketemu
positive,senjang
positive,mudah-mudahan
positive,modern
positive,peranakan
positive,pemudaan
positive,masygul
positive,gelebah
positive,mend
positive,regenerasi
positive,simpel
positive,sirap hati
positive,puspa
positive,mengenyam
positive,merah telinga
positive,bonafid
positive,terbakar
positive,bergairah
positive,puspita
positive,pelengkap
positive,perempuan cantik
positive,sewot
positive,gusar
positive,hiasan
positive,kesuma
positive,primadona
positive,tulu ikhla
positive,senyuman
positive,luga
positive,gema
positive,kusuma
positive,yaudah
positive,menyayang
positive,menggemari
positive,pasangan hidup
positive,asah asih asuh
positive,belom
positive,hay
positive,kepedulian
positive,sepuh
positive,kejelasan
positive,seruh
positive,terluki
positive,prosa
positive,ketertarikan
positive,cerita anak
positive,bau tanah
positive,atensi
positive,tergambar
positive,anekdot
positive,mengamuk
positive,shalat
positive,
positive,seneng
positive,omong kosong
positive,bombasti
positive,fiksi
positive,dzuhur
positive,tip
positive,kelonggaran
positive,tq
positive,respon
positive,sirna
positive,kelawasan
positive,singgung
positive,onli
positive,layanan
positive,keluasan
positive,langganan
positive,resap
positive,menyings
positive,lelap
positive,tembu
positive,keringanan
positive,beterbangan
positive,lipur
positive,sajak
positive,mempertentangkan
positive,peria
positive,respon
positive,
positive,reaksi
positive,kangen
positive,tlg
positive,sahutan
positive,cepet
positive,doang
positive,lantik
positive,akibat
positive,sambutan
positive,bersalin
positive,wahyu
positive,maha
